id,lat,long,Grid_Within_5km
30201088800703147,12,38,Yes
30201088800703165,12,38,Yes
30202088802508005,12,38,Yes
30202088802508017,12,38,Yes
30202088802508023,12,38,Yes
30202088802508035,12,38,Yes
30202088802508041,12,38,Yes
30202088802508059,12,38,Yes
30202088802508077,12,38,Yes
30202088802508095,12,38,Yes
30202088802508113,12,38,Yes
30202088802508131,12,38,Yes
30202088802508149,12,38,Yes
30202088802508167,12,38,Yes
30204088800906003,12,38,Yes
30204088800906013,12,38,Yes
30204088800906018,12,38,Yes
30204088800906033,12,38,Yes
30204088800906048,12,38,Yes
30204088800906063,12,38,Yes
30204088800906078,12,38,Yes
30204088800906093,12,38,Yes
30204088800906108,12,38,Yes
30204088800906123,12,38,Yes
30204088800906138,12,38,Yes
30204088800906160,12,38,Yes
30205088801907002,12,38,Yes
30205088801907018,12,38,Yes
30205088801907033,12,38,Yes
30205088801907049,12,38,Yes
30205088801907066,12,38,Yes
30205088801907081,12,38,Yes
30205088801907096,12,38,Yes
30205088801907112,12,38,Yes
30205088801907128,12,38,Yes
30205088801907143,12,38,Yes
30205088801907173,12,38,Yes
30207010100110003,11,38,Yes
30207010100110014,11,38,Yes
30207010100110025,11,38,Yes
30207010100110036,11,38,Yes
30207010100110047,11,38,Yes
30207010100110058,11,38,Yes
30207010100110069,11,38,Yes
30207010100110080,11,38,Yes
30207010100110091,11,38,Yes
30207010100110102,11,38,Yes
30207010100110113,11,38,Yes
30207010100110124,11,38,Yes
30207010100110135,11,38,Yes
30207010100110146,11,38,Yes
30207010100110157,11,38,Yes
30207088803703003,11,38,Yes
30207088803703008,11,38,Yes
30207088803703019,11,38,Yes
30207088803703035,11,38,Yes
30207088803703051,11,38,Yes
30207088803703066,11,38,Yes
30207088803703081,11,38,Yes
30207088803703096,11,38,Yes
30207088803703111,11,38,Yes
30207088803703126,11,38,Yes
30207088803703141,11,38,Yes
30209010100104006,12,38,Yes
30209010100104020,12,38,Yes
30209010100104034,12,38,Yes
30209010100104048,12,38,Yes
30209010100104062,12,38,Yes
30209010100104076,12,38,Yes
30209010100104090,12,38,Yes
30209010100104132,12,38,Yes
30209010100104146,12,38,Yes
30209088800708006,12,38,Yes
30209088800708018,12,38,Yes
30209088800708024,12,38,Yes
30209088800708042,12,38,Yes
30209088800708060,12,38,Yes
30209088800708066,12,38,Yes
30209088800708079,12,38,Yes
30209088800708097,12,38,Yes
30209088800708115,12,38,Yes
30209088800708133,12,38,Yes
30209088800708151,12,38,Yes
30209088800708169,12,37,Yes
30301088800204001,12,39,Yes
30301088800204002,12,39,Yes
30301088800204010,12,39,Yes
30301088800204021,12,39,Yes
30301088800204030,12,39,Yes
30301088800204040,12,39,Yes
30301088800204049,12,39,Yes
30301088800204058,12,39,Yes
30301088800204067,12,39,Yes
30301088800204076,12,39,Yes
30301088800204085,12,39,Yes
30302010100108012,12,40,No
30302010100108025,12,40,No
30302010100108038,12,40,No
30302010100108051,12,40,No
30302010100108064,12,40,No
30302010100108077,12,40,No
30302010100108090,12,40,No
30302010100108103,12,40,No
30302010100108129,12,40,No
30302010100108142,12,40,No
30302010100108155,12,40,No
30302088802104009,12,40,No
